"Date_Sampled","Year","Irr_season","Depth_1","Field_ID","Soil_pH","Soluble_Salts","OM_pct","NO3_D1_ppm","Bicarb_P_ppm","SO4_ppm","ExchK_ppm","ExchCa_ppm","ExchMg_ppm","ExchNa_ppm","Zn_ppm","Fe_ppm","Mn_ppm","Cu_ppm","Boron_ppm","CEC_me_100g","treatment"
2002-04-12,2002,"Before","0-12","F3",7.7,0.72,3.4,29.1,14,22,469,940,262,549,3,131,37.9,4.5,1.2,,"Sodium"
2002-04-12,2002,"Before","13-24","F3",8.5,0.84,0.9,7.9,7,23,136,1140,305,708,0.5,31.6,27.2,2.4,0.7,,"Sodium"
2002-04-12,2002,"Before","25-36","F3",8.6,0.74,0.6,4.7,5,20,74,1260,407,775,0.2,22.3,13.2,1.6,0.5,,"Sodium"
2002-04-12,2002,"Before","37-48","F3",8.5,0.54,0.4,1.4,5,14,64,1190,405,614,0.1,20.7,11.1,1.7,0.7,,"Sodium"
2002-08-15,2002,"During","0-12","F3",7.6,0.94,2.6,38.9,15,3,391,1110,314,698,2.5,98.4,37.5,3.9,1.2,,"Sodium"
2002-08-15,2002,"During","13-24","F3",8.2,0.7,0.3,0.4,2,25,110,1300,414,826,0.3,32.8,17,2.5,0.8,,"Sodium"
2002-08-15,2002,"During","25-36","F3",8.3,0.66,0.1,0.3,1,19,63,1240,456,576,0.5,43.5,24.6,2.8,1,,"Sodium"
2002-06-15,2002,"Before","0-12","F3",8,0.68,0.5,13.3,4,8,118,1220,320,467,0.7,23.8,25.2,2.2,1.5,11.1,"Sodium"
2002-06-15,2002,"Before","13-24","F3",8,0.54,0.2,5.7,3,6,66,1520,432,490,0.9,20.4,17,1.5,2.2,13.5,"Sodium"
2002-06-15,2002,"Before","25-36","F3",8.1,0.48,0.2,5.3,4,6,66,1150,341,389,0.3,24,20.3,1.9,1.1,10.5,"Sodium"
2002-06-15,2002,"Before","37-48","F3",7.9,0.5,0.5,6.3,4,4,71,1340,411,406,0.2,19,14.4,1.6,1.9,12.1,"Sodium"
2002-10-16,2002,"During","0-12","F3",7.9,0.52,3.4,0.9,17,19,543,990,257,630,1.6,24.9,43.2,2.3,0.8,,"Sodium"
2002-10-16,2002,"During","13-24","F3",7.8,0.48,2.4,17.6,15,27,349,1050,270,732,1.9,55.6,18,2.5,0.8,,"Sodium"
2003-06-24,2003,"Before","0-12","F3",8.1,0.54,1.3,9.9,8,10,242,960,267,497,2,29,10.9,2.4,,9.8,"Sodium"
2003-06-24,2003,"Before","13-24","F3",8.6,0.76,0.2,3.1,3,14,34,1030,430,742,0.4,12.9,5.4,1.3,,,"Sodium"
2003-06-24,2003,"Before","25-36","F3",8.3,0.56,0.1,1.8,2,9,28,1090,490,580,0.2,13.7,6.6,0.9,,,"Sodium"
2003-06-24,2003,"Before","37-48","F3",8.2,0.52,0.2,1.5,3,7,35,1120,483,496,0.3,14.3,9.4,1,,11.9,"Sodium"
2003-09-10,2003,"During","0-12","F3",8.1,0.84,2.3,13,15,11,394,980,260,545,1.4,30.8,17,2.4,0.8,10.4,"Sodium"
2003-09-10,2003,"During","13-24","F3",8,0.94,1.9,13,11,15,354,920,227,468,1.3,32.5,15.8,2.4,0.7,9.4,"Sodium"
2003-09-10,2003,"During","25-36","F3",8.6,1.02,0.1,4.5,3,20,55,1260,463,885,0.2,14.8,9.4,1.3,0.6,14.1,"Sodium"
2003-09-10,2003,"During","37-48","F3",8.7,0.88,0.1,3.5,4,14,52,1300,446,693,0.3,15.2,7.9,1.1,0.5,13.4,"Sodium"
2003-10-22,2003,"During","0-12","F3",7.8,0.6,2.7,17.7,14,11,477,970,253,547,1.7,33.4,12.9,2.5,0.9,10.6,"Sodium"
2003-10-22,2003,"During","13-24","F3",8.2,0.58,0.2,6,2,13,65,1410,424,719,0.4,16.5,4.6,1.2,0.6,13.9,"Sodium"
2003-10-22,2003,"During","25-36","F3",8,0.54,0.2,3.9,2,9,34,1410,474,552,0.2,13.3,4.8,1,0.5,13.5,"Sodium"
2003-10-22,2003,"During","37-48","F3",7.8,0.4,0.2,4,2,11,33,1330,446,428,0.3,12.7,5.7,1,0.4,12.3,"Sodium"
